Key,Officer,Received,Completed,Company,Address,PostalCode,City,SHO Decision,Final Decision (Director's Decision),Worker's Stated Safety Concern,Appeal Status,Number of Business Days,Number of Days to Close,Notes,DayOfWeekRCVD,DayOfWeekCompleted,MatchedCompNameCommon,MatchedCompNameLegal,MatchedCompNameAlias,MatchedAddress,MatchedPostalCode,MatchedCity,MatchedProvince,MatchedContact,MatchedCompNameCommon2,MatchedCompNameLegal2,MatchedCompNameAlias2,MatchedAddress2,MatchedPostalCode2,MatchedCity2,MatchedProvince2,MatchedContact2,MatchedCompNameCommon3,MatchedCompNameLegal3,MatchedCompNameAlias3,MatchedAddress3,MatchedPostalCode3,MatchedCity3,MatchedProvince3,MatchedContact3,MatchedCompNameCommon4,MatchedCompNameLegal4,MatchedCompNameAlias4,MatchedAddress4,MatchedPostalCode4,MatchedCity4,MatchedProvince4,MatchedContact4,MatchedCompNameCommon5,MatchedCompNameLegal5,MatchedCompNameAlias5,MatchedAddress5,MatchedPostalCode5,MatchedCity5,MatchedProvince5,MatchedContact5
403,Tammis Bruccolieri,2020-06-22,2020-07-07,City of Winnpeg,,,,No DA,No DA,Chemical Exposure,,12.0,15,,,,City of Winnipeg,,,360 Main St Suite 330,R3C 3Z3,Winnipeg,MB,,City of Winnipeg,,,510 Main St,R3B 1B9,Winnipeg,MB,,City of Winnipeg,,,510 Main St,R3B 1B9,Winnipeg,MB,,City of Winkler,,Town Of Winkler,185 Main St,R6W 1B4,Winkler,MB,Vince Anderson,,,,,,,,
404,Tammis Bruccolieri,2020-06-26,2020-07-08,L'Avenir Cooperative ,,,,No DA,No DA,Harrassment,,9.0,12,,,,L'Avenir Cooperative Inc,L'Avenir Co-operative Inc,,80 Sherbrook St,R3C 2B3,Winnipeg,MB,Marc Piche,Boni Cooperative Ltd,,,443 Turenne St,R2J 0S5,Winnipeg,MB,,,,,,,,,,,,,,,,,,,,,,,,,
405,Tammis Bruccolieri,2020-07-03,2020-07-30,Bear Clan Patrol Inc.,,,,DA,DA,Harassment,Appeal Director Level,20.0,27,,,,Bear Clan Patrol Inc.,,,,,,MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Tom Levich,2020-07-09,2020-07-15,Cancade Restoration,215 College Ave,R7A 7E2,Brandon,No DA,No DA,PPE/Training,,5.0,6,,,,Cancade Restoration,,,215 College Ave,R7A 7E2,Brandon,MB,Rene Gareau,Cancade CBI Company Ltd.,,Cancade Company,1651 12th St,R7A 7L1,Brandon,MB,Murray and Lyn Regher (Owners) or Michelle Augustyne (S&H),Concrete Restoration Services Ltd,,,77 Paquin Road,R2J 3V9,Winnipeg,MB,Ryan Jones - Safety Coordinator,Concrete Restorations Services Ltd.,,,,,,MB,Ryan Jones - Safety Coordinator,,,,,,,,
407,Tammis Bruccolieri,2020-07-31,2020-11-27,Rae & Jerry's Steakhouse,1405 Portage Ave,R3G 0W1,Winnipeg,No DA,No DA,Harassment,,86.0,119,,,,Rae & Jerry's Steakhouse,,,1405 Portage Ave,R3G 0W1,Winnipeg,MB,Steve Hrousalas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Tammis Bruccolieri,2020-09-22,2020-11-17,Greendell Park Community Centre Inc,,,,No DA,No DA,Harassment,,41.0,56,,,,Immigrant Centre,,International Centre,100 Adelaide St,R3A 0W2,Winnipeg,MB,Linda Lalonde,Bronx Park Community Centre,,,725 Henderson Hwy,R2K 0Z5,Winnipeg,MB,,Roblin Park Community Centre,,,,,,MB,,Sinclair Park Community Centre,,,,,,MB,,Valour Community Centre,,,444 Burnell St,R3G 2B4,Winnipeg,MB,Dodie Graham
409,Tim Maughan,2020-09-29,2021-01-22,Canadian Gold Beverages (2012) Inc,45137 A 210 Hwy,R0A 0Z0,Marchand,DA,DA,Chemical Equipment,,84.0,115,,,,Canadian Gold Beverages (2012) Inc,Red River Equipment (2007) Inc,,45137 A 210 Hwy,R0A 0Z0,Marchand,MB,Gabrielle McCulloch or P.C. De Jong (President),Canadian Cold Beverages Inc,,,45137-a 210 Hwy,R0A 0Z0,Marchand,MB,Gabrielle McCulloch,Canadian Inn Ltd,,,Box 484,R7A 5Z4,Brandon,MB,,,,,,,,,,,,,,,,,
410,Tim Maughan,2020-10-30,2020-12-16,Sinewy Construction Ltd.,,,,Closed,Closed,Ladder/other safety concerns,,34.0,47,,,,Sinewy Construction,,,1755 Broadway Ave W Suite 310,V6J 4S5,Vancouver,BC,Stanley Paulus,AB Construction,,,,R0J 0N0,Elphinstone,MB,Barry Tocher,C.S.A. Construction,,,SE 6 12 13,,Austin,MB,Steven Penner,D-Co Construction,,,,,,MB,,D-Co Construction,,,,,,MB,
411,Tammis Bruccolieri,2020-11-06,2021-02-01,Beausejour Consumer's Coop,,,,No DA,No DA,PPE ,,62.0,87,,,,Beausejour Consumer's Co-operative Ltd,,,605 Park Ave,R0E 0C0,Beausejour,MB,,Beausejour GM Ltd,,,Box 1030,R0E 0C0,Beausejour,MB,,Beausejour Consumers Cooperative Ltd,,,Box 1050,S7K 3M9,Saskatoon,SK,,Beausejour Tire Ltd,,,751 Park Ave,R0E 0C0,Beausejour,MB,,,,,,,,,
412,Tim Maughan,2020-11-12,2021-03-25,Paramed,,,,No DA,No DA,PPE/COVID-19,,96.0,133,,,,Paramed,,,,,,MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Troy Steeves,2020-11-23,,Town of The Pas,81 Edwards Ave,R9A 1K8,The Pas,Closed,Closed,,,, ,,,,Town of The Pas,,,81 Edwards Ave,R9A 1K8,The Pas,MB,Randi Salamanowicz (CAO/TTP Manager) or Jennifer Early (Mngmt Co-Chair),Town of The Pas,,,81 Edwards Ave,R9A 1K8,The Pas,MB,Randi Salamanowicz (CAO/TTP Manager) or Jennifer Early (Mngmt Co-Chair),Town of The Pas,,,81 Edwards Ave,R9A 1K8,The Pas,MB,Randi Salamanowicz (CAO/TTP Manager) or Jennifer Early (Mngmt Co-Chair),Town of The Pas,,,81 Edwards Ave,R9A 1K8,The Pas,MB,Randi Salamanowicz (CAO/TTP Manager) or Jennifer Early (Mngmt Co-Chair),Municipality of Louise,,"Amalgamation of the Village of Crystal City, the Town of Pilot Mound, & the RM of Louise",,,,MB,Melissa Penner (Admin Asst)
414,Jennifer Nakonechny,2020-11-26,2021-02-11,Anderson Janitorial Box,,,,No DA,No DA,,,56.0,77,,,,Jem Janitorial,,,1313 Border St Suite 73,R3H 0X4,Winnipeg,MB,Jason Bearden,J G Janitorial Services,Jose & Maris Goncalves,,87 Foxwarren Drive,R2P 2X3,Winnipeg,MB,"Joe, owner",,,,,,,,,,,,,,,,,,,,,,,,
415,Tammis Bruccolieri,2020-11-30,2021-02-05,Todd & Sagent,,,,No DA,No DA,Raising multiple Safety Concerns,,50.0,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Tim Maughan,2020-12-01,2020-12-04,Donna d'Stylist,,,,Closed,Closed,Sexual Harassment,,4.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Troy Steeves,2020-12-01,,Town of The Pas,81 Edwards Ave,R9A 1K8,The Pas,Closed,Closed,,,, ,,,,Town of The Pas,,,81 Edwards Ave,R9A 1K8,The Pas,MB,Randi Salamanowicz (CAO/TTP Manager) or Jennifer Early (Mngmt Co-Chair),Town of The Pas,,,81 Edwards Ave,R9A 1K8,The Pas,MB,Randi Salamanowicz (CAO/TTP Manager) or Jennifer Early (Mngmt Co-Chair),Town of The Pas,,,81 Edwards Ave,R9A 1K8,The Pas,MB,Randi Salamanowicz (CAO/TTP Manager) or Jennifer Early (Mngmt Co-Chair),Town of The Pas,,,81 Edwards Ave,R9A 1K8,The Pas,MB,Randi Salamanowicz (CAO/TTP Manager) or Jennifer Early (Mngmt Co-Chair),Municipality of Louise,,"Amalgamation of the Village of Crystal City, the Town of Pilot Mound, & the RM of Louise",,,,MB,Melissa Penner (Admin Asst)
418,Tammis Bruccolieri,2020-12-03,2021-02-25,MicroTool and Machine Limited,,,,DA,DA,Ventalation,,61.0,84,,,,Micro Tool and Machine Limited,,MTM,1166 Sanford St,R3E 2Z9,Winnipeg,MB,"Ken Booth, General Manager",NC Machine & Tool Corporation,N/C Machine,N/C Machine,234 Hutchings St,R2X 2Y2,Winnipeg,MB,Chris Roche (GM),N/C Machine & Tool Corporation,,,234 Hutchings St,,Winnipeg,MB,Dan Roche,,,,,,,,,,,,,,,,
419,Tim Maughan,2020-12-08,2020-12-09,Exchange Agency,,,,Closed,Closed,COVID-19,,2.0,1,,,,Exchange Group,,,,,,MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Tim Maughan,2020-12-16,2021-03-08,St. Matthews Kids Korner,,,,Closed,Closed,COVID-19,,59.0,82,,,,Kids Incorporated,Kids Inc,,691 Montrose St Suite 112,R3M 3M4,Winnipeg,MB,"Karen Ohlson, Director",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Troy Steeves,2021-01-08,2021-04-16,Hudbay Minerals Inc.,Box 1600,P4N 7W7,Timmins,Closed,DA,Violance,,71.0,98,,,,Hudbay Minerals Inc.,Hudbay Minerals Inc.,,Box 1600,P4N 7W7,Timmins,ON,Andre Lauzon VP,R.K.'s Contracting - Hudbay minerals Ltd,,,,,,MB,,Hudbay Minerals Inc.,Hudbay Minerals Inc.,,Box 1600,P4N 7W7,Timmins,ON,Andre Lauzon VP,Hudbay Minerals Inc.,Hudbay Minerals Inc.,,Box 1600,P4N 7W7,Timmins,ON,Andre Lauzon VP,,,,,,,,
422,Tim Maughan,2021-01-14,2021-06-21,City of Winnipeg,510 Main St,R3B 1B9,Winnipeg,No DA,No DA,COVID-19/Harassment,,113.0,158,,,,City of Winnipeg,,,510 Main St,R3B 1B9,Winnipeg,MB,,City of Winnipeg,,,360 Main St Suite 330,R3C 3Z3,Winnipeg,MB,,City of Winnipeg - Transit,,,510 Main St,R3B 1B9,Winnipeg,MB,,City of Winnipeg,,,510 Main St,R3B 1B9,Winnipeg,MB,,Winnipeg Enterprises Corporation,,Select A Seat,1430 Maroons Road,R3G 0L5,Winnipeg,MB,
423,Tammis Bruccolieri,2021-01-29,2021-02-04,MacDon Industries Ltd,680 Moray St,R3J 3S3,Winnipeg,Closed,Closed,COVID-19/Referal,,5.0,6,,,,MacDon Industries Ltd,,,680 Moray St,R3J 3S3,Winnipeg,MB,Dave Scott,MacDon Industries Ltd,,,680 Moray St,R3J 3S3,Winnipeg,MB,"Dave Scott - 204-885-5590Sarrah Menge - Manager - Employee, Health, Safety & Wellness Specialist 431-336-6619 (cell) or 204-831-4438 (land) Jeff Kaptian 204-833-7795204.885.5590dscott@macdon.comjhillock@macdon.com",MacDon Industries Ltd,,,680 Moray St,R3J 3S3,Winnipeg,MB,Dave Scott,WD Industrial Group,,Macron Enterprises Ltd.,1036 Waverly St,R3T 0P3,Winnipeg,MB,Jeffrey K. Warren or Taylor Warren,,,,,,,,
424,Tammis Bruccolieri,2021-02-02,2021-04-14,St Ignatius Parish,255 Stafford St,R3M 2X2,Winnipeg,DA,DA,Harassment,,52.0,71,,,,St Ignatius Parish,,,255 Stafford St,R3M 2X2,Winnipeg,MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,Tammis Bruccolieri,2021-02-03,2021-04-15,McDonald Youth Services,,,,No DA,No DA,Harassment,,52.0,71,,,,Macdonald Youth Services,,,175 Mayfair Ave,R3L 0A1,Winnipeg,MB,Jennifer Scott,McDonald's,,,,,,MB,,,,,,,,,,,,,,,,,,,,,,,,,
426,Tim Maughan,2021-02-05,2021-03-09,Convoy Supply Ltd.,8183 130th St,V3W 7X4,Surrey,Closed,Closed,COVID,,23.0,32,,,,Convoy Supply Ltd.,,,8183 130th St,V3W 7X4,Surrey,BC,James H. Peters,KI Supply,,,,,,MB,,HD Supply,,H D Supply,1695 Sargent Ave,R3H 0C4,Winnipeg,MB,John Marino,,,,,,,,,,,,,,,,
427,Tammis Bruccolieri,2021-02-09,2021-04-12,Can DO People Inc.,,,,No DA,No DA,Heimlich Manoeuvre,,45.0,62,,,,Can DO People Inc.,,,,,,MB,Pascal Audette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Bill Bage,2021-02-09,2021-06-21,University of Manitobba Student's Union (UMSU),,,,No DA,No DA,Harassment,,95.0,132,,,,University of Manitoba Students' Union (UMSU),University of Manitoba Students' Union,,101 Unviversity Centre,R3T 2N2,Winnipeg,MB,Ellen Cianflone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Jennifer Nakonechny,2021-02-18,2021-03-23,LaFramboise (Pea Plant Portage),,,,No DA,No DA,Harassment,,24.0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Tim Maughan,2021-03-09,,Freedom Cocepts,,,,Closed,Closed,Harassment,,, ,,,,Freedom Concepts Inc,,,71 Burnett Ave,R2C 5C7,Winnipeg,MB,Ken Vanstraclen (President) or Larry Penner (Customer Service Manager),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Tim Maughan,2021-03-12,,New Directions for Childern,,,,Closed,Closed,PPE/COVID,,, ,,,,"New Directions for Children, Youth, Adults & Families Inc","New Directions for Children, Youth, Adults & Families Inc",The Children's Home Of Winnipeg,491 Portage Ave Suite 400,R3B 2E4,Winnipeg,MB,Elizabeth Chipilski (HR Director),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,Jennifer Nakonechny,2021-03-16,,Russel Redi-Mix ,,,,Closed,Closed,Harassment,,, ,,,,Russell Red-Mix,,,,,,MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,Jennifer Nakonechny,2021-03-16,2021-05-13,Sobeys Kenaston,,,Winnipeg,No DA,No DA,Harassment,,43.0,58,,,,Sobeys,Doring Enterprizes Inc.,,94 7th Ave,R0C 1B0,Gimli,MB,"Ingvar Karvelson, Owner",Sobeys,Sobeys Capital Incorporated,The Oshawa Group Limited,12910 156 St,T5V 1E9,Edmonton,AB,Devon Johnston,Sobeys,W.R.A. Enterprises Portage La Prairie,,2100 Saskatchewan Ave W,R1N 0P3,Portage La Prairie,MB,Being Managed out of Winnipeg,,,,,,,,,,,,,,,,
